,const,Mkt-RF,SMB,HML,RMW,CMA,RF
ANET,-0.004578460792577653,-0.0006424541874996218,-0.0044435918605368815,0.005063932948745484,0.0013018465725496335,-0.0053534177112930575,0.06280745536026186
CARR,0.0030322993811452152,-0.0009094817282025994,-0.0031509663483228925,0.0023380687076297083,-0.0030539338576930425,-0.0011947640250504904,0.008646594526796083
CRWD,0.01335729344024914,-0.0005113090037946603,0.0007198585872193747,-0.00040937540985791206,-0.0012274086987536874,-0.0029558368564904353,-0.029808971017044498
EQT,0.0075053688225603385,-0.0002193236354951488,-0.0006429939182568674,0.001532379438573234,0.00044775872883203995,-0.0013077061733537208,-0.04431927417456005
FCX,0.0058756173582671075,-0.00010821175849975211,0.0004477876747231297,0.00013853965655687841,0.0010392054817827288,0.0005929578082456746,-0.0008459902688716292
IRM,0.003952964976519135,-0.00034743560863915627,-0.002468391255501028,0.0009982516514206654,-0.0023967521237896524,0.0006120690467742567,0.025344712270361464
KR,-0.00020092492920780768,0.0003820355629759114,0.0005180928791040309,-0.0010745879703364372,-0.0008998127993017522,0.001429044813099834,0.0059037465132133595
LLY,-0.002974630113395284,-0.00010409617620718827,-0.0013930914017365166,0.0002454877814593876,-0.0010009369623398708,0.00019063839008632007,0.02378586280877739
MCK,-0.004019186372443569,0.0003970230743847611,-0.0021273289594851918,0.002688103362732526,-0.0005103435235766204,-0.0009859561869316736,0.003843740002769918
NFLX,0.02068729295157988,-0.0005257312805208113,-0.0029957667000149574,0.00423948183816053,-0.004285257506969802,-0.0033035966011726817,-0.03618368030489673
NRG,0.0014013726605815726,0.0004407459713539654,-0.0019742937060929504,0.003389948584730461,0.0006217250908009496,-0.0025579095971032615,0.0070889538404697305
NUE,0.0065372450995410634,-1.826072329090247e-05,0.001731894986454236,-0.0018573610245267015,-4.2714426219294164e-05,0.0014643738963180564,-0.013269596631841884
NVDA,-0.0030300796046999604,-0.0001422250492949469,-0.001407831980659075,0.0028366355496821666,-0.00193996015772663,-0.002860900230602459,0.0165516418337491
PANW,0.002995664439606931,7.390557986194816e-05,0.000596174264080927,0.001682648333026595,-0.00010096583540351737,-0.0030112537036266914,-0.012335480433847011
PCG,0.0017402391325368068,-0.00039071575428439203,-0.0027368501811270815,0.003030545943852092,-0.001190532350416133,-0.0022529868759180974,0.0006223695126222771
PDD,0.017598323441560038,-0.000870686114570744,-0.002889134118515884,0.0034482839646553082,-0.00020538957355137083,-0.004051252880918628,-0.01824239041622229
PGR,-0.0026430509422421516,-0.0001586139002329373,-0.00010619219174521033,0.0006193409019849555,0.001235763514144342,-0.0009026705917039554,0.014460412652716931
PSA,0.01003057535882239,0.00034200946263022135,-0.0016117638061149608,0.0016962014435156433,-0.0025108335798397995,-0.0012861317073167367,-0.021890764540896612
PWR,0.00617236750837368,-0.0008853290476727876,7.809629689167507e-05,0.0010436228017645546,-0.000230020907915205,-0.002013718837308469,-0.029652104523032848
TMUS,0.006227709938716989,0.00018388521276764923,5.6666245032496764e-05,0.0014181327611057846,0.00011302492475547785,-0.0008013943242388909,-0.0007972929090786968
TRGP,0.0017059395023041133,-0.0020808582251711414,-0.002201331538846753,0.0016004103295164157,-0.00033239138883839965,-0.001290832819450447,0.011974802154718966
TSCO,0.002434442365417597,-2.882123613961331e-05,0.0005449699070391113,-1.3869164779904669e-05,-0.0011934207377779036,-0.0005245290910296688,-0.006359777651823797
TSLA,0.004276740358450477,-0.0003035413819477504,0.001695682642816871,0.00306043627950904,0.00088331066130967,-0.0005077979392611289,-0.016583273100226024
WMT,0.005714958878272224,-0.00025725363451371326,-0.000548566593583397,0.0004790582294279583,-0.0018172249373234334,-0.0003198781974169625,-0.008406113290177885
